医療機関名称,郵便番号,住所
吉野クリニック,288-0836,千葉県銚子市松岸町４－７７８－５１
小見川診療所,289-0302,千葉県香取市三ノ分目２５５－７
石橋医院,289-0313,千葉県香取市小見川５４８
宮内医院,289-0411,千葉県香取市府馬２８０５
医療法人社団　誠和会　長谷川病院,289-1103,千葉県八街市八街に８５
医療法人社団　愛聖会　八街こどもクリニック,289-1114,千葉県八街市東吉田５１７－５７
守　医院,289-2102,千葉県匝瑳市椿１２６８
医療法人三成会　佐藤クリニック,289-2144,千葉県匝瑳市八日市場イ２７３５－４
大木内科医院,289-2241,千葉県香取郡多古町多古２５３１
医療法人社団　ゆうきクリニック,289-2613,千葉県旭市後草３２８８－４
医療法人社団　裕人会　辰巳台クリニック,290-0003,千葉県市原市辰巳台東３－１５－２
医療法人社団高原会　原村医院,290-0041,千葉県市原市玉前７６
西岡クリニック,290-0141,千葉県市原市ちはら台東１－２－１３
桜井医院,292-0038,千葉県木更津市ほたる野１－２８－３
医療法人社団　松清医院,292-0042,千葉県木更津市清見台南１－９－６
医療法人社団　志成会　ロイヤルクリニック,292-0045,千葉県木更津市清見台３－６－５
医療法人社団明竹会　竹内基クリニック,292-0807,千葉県木更津市請西南４－２－９
社会医療法人社団さつき会　かずさアカデミアクリニック,292-0818,千葉県木更津市かずさ鎌足２－３－９
医療法人社団　三東会　竹内医院,293-0001,千葉県富津市大堀２－１４－１５
循環器科・内科たなかハートクリニック,293-0001,千葉県富津市大堀４－１－２４
医療法人社団　三友会　三枝病院,293-0012,千葉県富津市青木１６４１
医療法人社団　正仁会　鈴木内科クリニック,294-0036,千葉県館山市館山８０９－２
たてやま循環器内科外科,294-0045,千葉県館山市北条２４１６－３０
医療法人社団　桂　七浦診療所,295-0026,千葉県南房総市千倉町大川６３８
医療法人　社団　恵生会　三枝医院,297-0015,千葉県茂原市東部台２－２０－１
東部台医院,297-0015,千葉県茂原市東部台３－２１－６
医療法人社団　さわしん会　富士見クリニック,297-0017,千葉県茂原市東郷２０００
医療法人社団上総会　山之内病院,297-0022,千葉県茂原市町保３番地
医療法人社団　徳志会　宮本内科医院,297-0065,千葉県茂原市緑ケ丘４－３－３
渡辺医院,297-0073,千葉県茂原市長尾２５９２
医療法人社団　慈協会　市原メディカルキュア,299-0111,千葉県市原市姉崎６５８
医療法人社団石井会　石井内科小児科医院,299-0245,千葉県袖ケ浦市蔵波台４－１３－８
社会医療法人社団さつき会　袖ケ浦さつき台病院,299-0246,千葉県袖ケ浦市長浦駅前５－２１
医療法人社団　福徳会　福王台外科内科,299-0261,千葉県袖ケ浦市福王台１－１０－９
医療法人社団　美孝会　袖ケ浦医院,299-0263,千葉県袖ケ浦市奈良輪１－８－８
医療法人社団　仁治会　袖ヶ浦どんぐりクリニック,299-0269,千葉県袖ケ浦市袖ケ浦駅前１－３９－２
医療法人社団　周晴会　鈴木病院,299-1107,千葉県君津市上２３８
医療法人社団　君津あすなろ会　あすなろクリニック,299-1152,千葉県君津市久保１－２－２
医療法人社団　今城会　君津クリニック,299-1163,千葉県君津市杢師１－１－１
原田内科小児科医院,299-1607,千葉県富津市湊４９７－５
医療法人社団　優心会　生方内科クリニック,299-2403,千葉県南房総市富浦町原岡１３７－１
医療法人　美篶会　中原病院,299-2703,千葉県南房総市和田町仁我浦１９－１
医療法人社団　将恵会　鈴木クリニック,299-3203,千葉県大網白里市四天木乙２８２７－２１
医療法人社団　穣仁会　ますほ内科クリニック,299-3218,千葉県大網白里市北飯塚３４５－１
医療法人　勇優雅会　きららのくに　みどりが丘クリニック,299-3255,千葉県大網白里市みどりが丘３－１０－６
大多和医院,299-4205,千葉県長生郡白子町南日当８５１
医療法人社団　寿光会　岬病院,299-4504,千葉県いすみ市岬町桑田２５３１
田谷医院,300-0047,茨城県土浦市生田町３－２７
医療法人秀栄会　滝沢医院,300-0337,茨城県稲敷郡阿見町中郷２－１－３
医療法人社団　浩栄会　荒川沖診療所,300-0873,茨城県土浦市荒川沖南区１０１
医療法人　鶴町会　つくば・土浦鶴町皮膚科クリニック,300-0874,茨城県土浦市荒川沖西１－１７－４
医療法人社団道淑会　高野医院,300-0874,茨城県土浦市荒川沖西２－１２－２
医療法人社団桂寿会　あくつ整形外科・内科,300-0875,茨城県土浦市中荒川沖町２５－６
医療法人　なかの循環器クリニック,300-1234,茨城県牛久市中央１－２１－３
ことより医院,300-1234,茨城県牛久市中央５－１２－１７
医療法人緑東会　角崎クリニック,300-1415,茨城県稲敷市中山４３７７
桜が丘メルクリニック,300-1525,茨城県取手市桜が丘１－１７－１
柴原医院,300-2617,茨城県つくば市吉沼１１５１
医療法人　中川医院,300-3264,茨城県つくば市篠崎２２７２－１
木村クリニック,300-4204,茨城県つくば市作谷１１２５
仁保内科医院,300-4408,茨城県桜川市真壁町真壁４２５
明野中央医院,300-4517,茨城県筑西市海老ケ島９２６
医療法人社団　健幸福会　龍ヶ崎大徳ヘルシークリニック,301-0816,茨城県龍ケ崎市大徳町１２９８－３大徳ヘルシービル１Ｆ
医療法人社団　竹村医院,302-0005,茨城県取手市東１－２－１２
永瀬内科,302-0108,茨城県守谷市松並１５８０
医療法人社団健栄会　守谷駅前クリニック,302-0115,茨城県守谷市中央１－２３－１斎藤ビル５階
新守谷皮膚科クリニック,302-0118,茨城県守谷市立沢１４２－１６
川島クリニック,302-0128,茨城県守谷市けやき台６－１６－１４
医療法人笑顔会　しらさわ耳鼻咽喉科クリニック,303-0031,茨城県常総市水海道山田町１５４２－８
医療法人（社）白峰会　とき田クリニック,304-0056,茨城県下妻市長塚２８－１
菊山胃腸科外科医院,304-0068,茨城県下妻市下妻丁８１－７
医療法人　倉田内科クリニック,305-0001,茨城県つくば市栗原３４４３
おおつか内科クリニック　消化器内科・腎臓内科,305-0045,茨城県つくば市梅園２－２０－９
宮川内科・胃腸科医院,305-0051,茨城県つくば市二の宮２－２－２６
医療法人　櫻坂　坂根Ｍクリニック,305-0056,茨城県つくば市松野木１６２－７
医療法人社団　池野医院,305-0074,茨城県つくば市高野台２－１６－８
中嶋こどもクリニック,305-0822,茨城県つくば市苅間篠前１６２０－７
谷田部診療所,305-0861,茨城県つくば市谷田部６１２３－１
むらした内科クリニック,305-0883,茨城県つくば市みどりの東１２－７
医療法人　賢友会　長島外科,306-0023,茨城県古河市本町１－９－１５
岡田クリニック,306-0204,茨城県古河市下大野２８５４
医療法人　江東会　存身堂医院,306-0631,茨城県坂東市岩井３２９３
医療法人社団　エムアイ　いのもと整形外科,306-0632,茨城県坂東市辺田３１０－５２
医療法人　兼愛会　栗原胃腸科医院,307-0001,茨城県結城市大字結城３５４－３
医療法人　愛豊会　みずのクリニック,307-0021,茨城県結城市上山川５０４９－１４
野中医院,308-0843,茨城県筑西市野殿１５９５－２
佐藤医院,309-1611,茨城県笠間市笠間９８１－８
わたなべ整形外科,309-1703,茨城県笠間市鯉淵６２６６－１４０
山本内科小児科医院,309-1705,茨城県笠間市東平４－５－３４
いちょう坂クリニック,310-0011,茨城県水戸市三の丸１－４－７３水戸京成ビル１階
岩間東華堂クリニック,310-0026,茨城県水戸市泉町３－１－３０
井上医院,310-0044,茨城県水戸市西原２－１７－３２
茨城保健生活協同組合　城南病院附属クリニック,310-0803,茨城県水戸市城南３－１５－８
医療法人　坂本内科医院,310-0912,茨城県水戸市見川２－１９２－３
医療法人　大森医院,311-0502,茨城県常陸太田市徳田町４７４
医療法人社団　福寿会　飯島内科,311-2423,茨城県潮来市日の出８－１３－２
仲沢医院,311-2425,茨城県潮来市あやめ２－２６－１８
脳神経外科ブレインピア桜ヶ丘,311-3156,茨城県東茨城郡茨城町奥谷１０７６
金塚医院,311-3513,茨城県行方市手賀３１２５
つばさクリニック,311-3835,茨城県行方市島並１５１１
医療法人社団　愛友会　勝田病院,312-0011,茨城県ひたちなか市中根５１２５－２
医療法人　石岡ひかりクリニック,315-0031,茨城県石岡市東大橋１８９８－５
冨田産婦人科医院,315-0042,茨城県石岡市茨城３－５－３１
医療法人　高木医院,315-0053,茨城県かすみがうら市稲吉東１－１５－１
新島スカイクリニック,316-0036,茨城県日立市鮎川町３－１－２１
柴原皮膚科,317-0065,茨城県日立市助川町１－７－９
医療法人社団　久慈川会　西野医院,319-1231,茨城県日立市留町１１６６
緒川クリニック,319-2401,茨城県常陸大宮市上小瀬１４２６－１
医療法人　聖友会　慈泉堂病院,319-3526,茨城県久慈郡大子町大子８５６－１
金子耳鼻咽喉科クリニック,320-0041,栃木県宇都宮市松原２－３－１４
社会医療法人　中山会　宇都宮記念病院,320-0811,栃木県宇都宮市大通り１－３－１６
はま皮フ科クリニック,321-0138,栃木県宇都宮市兵庫塚３－２９－２８
医療法人社団　智栄会　福井セントラルクリニック,321-0202,栃木県下都賀郡壬生町おもちゃのまち２－４－８
医療法人社団　新生会　塩谷医院,321-0526,栃木県那須烏山市田野倉１８３
医療法人　北斗会　宇都宮東病院,321-0901,栃木県宇都宮市平出町３６８－８
いしだ整形外科,321-0912,栃木県宇都宮市石井町３２３６－１
医療法人道優会　橋壁皮膚科,321-0923,栃木県宇都宮市下栗町１５０５
医療法人社団　竹山会　青木医院,321-0954,栃木県宇都宮市元今泉１－３－１１
双葉クリニック,321-0968,栃木県宇都宮市中今泉３－２８－１
医療法人社団　竹林クリニック,321-0974,栃木県宇都宮市竹林町８８８－１
小西医院,321-1432,栃木県日光市安川町８－２５
医療法人　宇都宮健康クリニック,321-2116,栃木県宇都宮市徳次郎町５－５
冨塚メディカルクリニック,321-2116,栃木県宇都宮市徳次郎町８８８
宇都宮東部クリニック,321-3223,栃木県宇都宮市清原台５－１４－１９
医療法人　富士見会　ミヤ健康クリニック,321-3226,栃木県宇都宮市ゆいの杜３－２－２３
医療法人社団　健暉会　清原診療所,321-3231,栃木県宇都宮市清原工業団地１５－１
医療法人　真岡脳神経クリニック,321-4333,栃木県真岡市大谷本町３－２０
岡田・小松崎クリニック,321-4333,栃木県真岡市大谷本町７－１７
医療法人社団　福田会　福田記念病院,321-4355,栃木県真岡市上大沼１２７－１
いしい整形外科,323-0811,栃木県小山市犬塚１－２１－８
一般財団法人　日本健康管理協会　とちぎ健診プラザ,323-0823,栃木県小山市向原７７－３
医療法人　もみの木会　わたなベ整形外科,326-0025,栃木県足利市寿町９－２８
整形外科かないクリニック,326-0144,栃木県足利市葉鹿南町１３－９
医療法人　いぶき会　小倉医師会通りクリニック,327-0832,栃木県佐野市植上町１７５２－２
医療法人　野﨑医院,328-0016,栃木県栃木市入舟町１４－３
医療法人　中元内科医院,328-0027,栃木県栃木市今泉町２－１０－１８
医療法人　南河内診療所,329-0431,栃木県下野市薬師寺２４７２－１５
島田クリニック,329-0511,栃木県下野市石橋２３８－１
医療法人　遼朋会　せんば医院,329-0618,栃木県河内郡上三川町しらさぎ１－１９－８
医療法人　斎藤内科小児科医院,329-1104,栃木県宇都宮市下岡本町４５５６－５
医療法人薫会　菅又病院,329-1207,栃木県塩谷郡高根沢町大字花岡２３５１
医療法人　智健会　イーストメディカルクリニック,330-0055,埼玉県さいたま市浦和区東高砂町１１－１浦和パルコ７Ｆ
医療法人　川久保病院,330-0055,埼玉県さいたま市浦和区東高砂町２９－１８
医療法人社団由和会　楢原医院,330-0056,埼玉県さいたま市浦和区東仲町４－１７
馬場内科消化器科クリニック,330-0061,埼玉県さいたま市浦和区常盤１０－１０－１８　マスナガエンビル２Ｆ
医療法人　天尽会　敬愛クリニック,330-0063,埼玉県さいたま市浦和区高砂２－５－１　ＫＯＭＯＮ　３階
医療法人　鎌田医院,330-0064,埼玉県さいたま市浦和区岸町４－２３－８
石川内科,330-0064,埼玉県さいたま市浦和区岸町４－２４－１２
医療法人　宇治病院,330-0802,埼玉県さいたま市大宮区宮町２－９０
医療法人社団　双愛会　大宮双愛病院,330-0804,埼玉県さいたま市大宮区堀の内町２－１６０
医療法人社団　双愛会　双愛クリニック,330-0804,埼玉県さいたま市大宮区堀の内町２－１７３
医療法人　インテグレス　大宮エヴァグリーンクリニック,330-0844,埼玉県さいたま市大宮区下町２－１６－１　アクロスビル３階
クリニックフォア大宮,330-0846,埼玉県さいたま市大宮区大門町２－１１８大宮門街４Ｆ
医療法人　誠光会　ひかりクリニック,330-0852,埼玉県さいたま市大宮区大成町３－３３９－２　光ビル
医療法人社団ビーンズ　大宮駅前まめクリニック,330-0854,埼玉県さいたま市大宮区桜木町１－１－２６　石井畜産ビル５Ｆ
学校法人　呉竹学園　呉竹メディカルクリニック,330-0854,埼玉県さいたま市大宮区桜木町１－１８５－１
医療法人爽成会　さいたま泌尿器科クリニック,330-0854,埼玉県さいたま市大宮区桜木町１－２６６－１２－３階
医療法人社団コンパス　コンパス内科歯科クリニック大宮,330-0854,埼玉県さいたま市大宮区桜木町４－１９３－２
医療法人　よしわ会　さいたま新開橋クリニック,331-0046,埼玉県さいたま市西区宮前町４０８－１
けやき医院,331-0057,埼玉県さいたま市西区中野林６４３
大久保医院,331-0802,埼玉県さいたま市北区本郷町５０
石塚内科クリニック,331-0811,埼玉県さいたま市北区吉野町１－３７７－４
増田外科医院,331-0812,埼玉県さいたま市北区宮原町４－３９－５
むらのひがしクリニック,331-0815,埼玉県さいたま市北区大成町４－３１８－３
医療法人　福慈会　夢眠クリニック大宮北,331-0822,埼玉県さいたま市北区奈良町３２－６
医療法人ヘブロン会　大宮中央総合病院,331-8711,埼玉県さいたま市北区東大成町１－２２７
医療法人社団慈心一会　末広整形,332-0006,埼玉県川口市末広３－４－２８
医療法人社団　令成会　川口パークタワークリニック,332-0016,埼玉県川口市幸町１－７－１川口パークタワー２Ｆ
医療法人社団　徳律会　やじま耳鼻咽喉科,332-0017,埼玉県川口市栄町１－１２－２１シティデュオタワー２０６
医療法人　社団創友会　丸山クリニック,333-0806,埼玉県川口市戸塚境町３５－１０フォルテシモ１階
医療法人社団ナイズ　キャップスクリニック川口,333-0834,埼玉県川口市安行領根岸３１８０イオンモール川口３Ｆ
鹿島診療所,333-0834,埼玉県川口市安行領根岸９０４－１
医療法人久恩会　下条医院,333-0847,埼玉県川口市芝中田１－３０－８
小谷場クリニック,333-0857,埼玉県川口市大字小谷場４１０－１
小谷野医院,334-0001,埼玉県川口市桜町２－５－１９
医療法人　あかつき会　はとがや病院,334-0003,埼玉県川口市坂下町４－１６－２６
フクダクリニック,334-0013,埼玉県川口市南鳩ヶ谷１－９－６
今野医院,334-0013,埼玉県川口市南鳩ヶ谷７－２７－１５
医療法人社団　氷室医院,334-0062,埼玉県川口市榛松２－６－８
社会医療法人社団　大成会　武南病院附属クリニック,334-0063,埼玉県川口市東本郷１４３２
医療法人　治水会　斎藤クリニック,335-0004,埼玉県蕨市中央３－１９－１４
医療法人　寺田会　おくだ整形外科内科,335-0004,埼玉県蕨市中央３－３－１５－２Ｆ
医療法人社団　美草会　菊地医院,335-0005,埼玉県蕨市錦町２－２０－１２
あしやハートクリニック,335-0011,埼玉県戸田市下戸田１－１８－２－２Ｆ
戸田おおたクリニック,335-0013,埼玉県戸田市喜沢１－１８－８まるたけビル１Ｆ
医療法人　翔誠会　もとはしクリニック,335-0014,埼玉県戸田市喜沢南２－７－１４
医療法人　翔誠会　ふくだ内科,335-0015,埼玉県戸田市川岸２－７－３０
医療法人社団　祥里会　大島内科クリニック,335-0022,埼玉県戸田市上戸田２－１－１５
かずまこどもクリニック,335-0022,埼玉県戸田市上戸田８４－２アンレーヴ戸田１０１
ＭＩＲＡＩ　ＣＬＩＮＩＣ　ＴＯＤＡ,335-0023,埼玉県戸田市本町４－１６－１７　戸田公園メディカルブリッジ２Ｆ
医療法人　わかくさ会　わかくさこどもクリニック,335-0023,埼玉県戸田市本町５－１２－３６エトワール戸田公園１階
医療法人　慶承会　公園の街クリニック,335-0023,埼玉県戸田市本町５－１３－１９グランカルム戸田１階Ｂ室
指扇病院附属　笹目クリニック,335-0034,埼玉県戸田市笹目５－２０－１０
医療法人　有隣会　わかくさ病院,336-0015,埼玉県さいたま市南区太田窪１９７３－５
阿部内科クリニック,336-0015,埼玉県さいたま市南区太田窪２－１０－２６
医療法人社団　祐慈会　井上整形外科クリニック,336-0015,埼玉県さいたま市南区太田窪２－１１－２２
医療法人　心施和顔施会　ほうじゅ南浦和クリニック,336-0017,埼玉県さいたま市南区南浦和１－２５－１－１Ｆ
医療法人　しのざき脳神経外科・産婦人科クリニック,336-0017,埼玉県さいたま市南区南浦和３－２８－７
医療法人社団ナイズ　キャップスクリニックまるひろ南浦和店,336-0018,埼玉県さいたま市南区南本町１－７－４－５Ｆ
医療法人　服部会　服部外科胃腸科医院,336-0021,埼玉県さいたま市南区別所５－６－１２
武蔵浦和整形外科内科クリニック,336-0021,埼玉県さいたま市南区別所７－２－１－１０１Ａ
うざわ耳鼻咽喉科クリニック,336-0021,埼玉県さいたま市南区別所７－２－１－１０１Ｃ
医療法人　仁愛会　ミューズ皮膚科ペインクリニック,336-0021,埼玉県さいたま市南区別所７－２－１－１０２
医療法人　藤正会　ユニットワンクリニック,336-0025,埼玉県さいたま市南区文蔵３－１１－３ユニット・ワンビル２Ｆ
医療法人　服部会　服部外科付属メディカルスクエア,336-0031,埼玉県さいたま市南区鹿手袋２－２２－１０
医療法人博朋会　北濱ライフクリニック,336-0032,埼玉県さいたま市南区四谷２－１－３
いけがみ内科ファミリークリニック,336-0033,埼玉県さいたま市南区曲本３－６－２
こんの内科,336-0042,埼玉県さいたま市南区大谷口５６１０
医療法人社団　青洋会　そら内科クリニック,336-0911,埼玉県さいたま市緑区三室９５０－１
医療法人　舟田クリニック,336-0926,埼玉県さいたま市緑区東浦和５－１３－２
医療法人社団ふさの会　しみずクリニックふさ,336-0967,埼玉県さいたま市緑区美園５－４６－７
医療法人社団　風凛香　つばさクリニック,337-0016,埼玉県さいたま市見沼区大字東門前４３－１
医療法人社団　優亜会　さぐち医院,337-0041,埼玉県さいたま市見沼区南中丸１０３２－１２
医療法人社団　笑仁会　和田クリニック,337-0051,埼玉県さいたま市見沼区東大宮３－２－２２
東大宮内科クリニック,337-0051,埼玉県さいたま市見沼区東大宮５－５３－３
センチュリーシティ内科クリニック,337-0053,埼玉県さいたま市見沼区大和田町１－１２７５
ゆり内科クリニック,338-0001,埼玉県さいたま市中央区上落合１－１１－１５　アスク新都心ビル２階
医療法人社団　彩の風　さいたま中央クリニック,338-0001,埼玉県さいたま市中央区上落合８－３－３２　ホームズさいたま中央店２階
井原医院,338-0002,埼玉県さいたま市中央区下落合６－１２－２５
しおや消化器内科クリニック,338-0003,埼玉県さいたま市中央区本町東３－３－３
医療法人　川村医院,338-0811,埼玉県さいたま市桜区白鍬３２５－２
医療法人　聖仁会　西部総合病院健診センター,338-0824,埼玉県さいたま市桜区上大久保８９０－１
医療法人　光友会　木村医院,338-0837,埼玉県さいたま市桜区田島５－２４－１
医療法人社団　桜友会　すこやかファミリークリニック,338-0837,埼玉県さいたま市桜区田島５－２５－３－１Ｆ
医療法人　伴友会　伴医院,338-0837,埼玉県さいたま市桜区田島９－１２－１２
医療法人　東州会　フローラ太田小通りクリニック,339-0054,埼玉県さいたま市岩槻区仲町１－１２－２７
医療法人　慈正会　レインボークリニック,339-0057,埼玉県さいたま市岩槻区本町３－２－５ワッツ東館２階
岩槻内科胃腸内科,339-0057,埼玉県さいたま市岩槻区本町３－４－１７　２Ｆ
医療法人社団　誠眞会　眞弓循環器科クリニック,339-0067,埼玉県さいたま市岩槻区西町１－１－２６プレミアムタワー２０２
牛山医院,339-0067,埼玉県さいたま市岩槻区西町４－２－４
高橋医院,339-0081,埼玉県さいたま市岩槻区西原１－９
松原レディースクリニック,340-0011,埼玉県草加市栄町２－１２－５
水野クリニック,340-0011,埼玉県草加市栄町３－６－６
内藤クリニック,340-0014,埼玉県草加市住吉１－２－２８
あさこ小児科内科医院,340-0015,埼玉県草加市高砂２－２－１２
医療法人　山崎クリニック,340-0016,埼玉県草加市中央２－４－１１
たかぎ医院,340-0017,埼玉県草加市吉町３－２－４７
山崎胃腸科・内科クリニック,340-0034,埼玉県草加市氷川町２１２９－２
医療法人社団ナイズ　キャップスクリニック草加松原,340-0041,埼玉県草加市松原３－３－１ＴＯＢＵ　ｉｃｏｕｒｔ　２Ｆ
レン・ファミリー・クリニック,340-0054,埼玉県草加市新善町３７３
医療法人大西会しんえいクリニック,340-0056,埼玉県草加市新栄４－２－５
医療法人　のうみクリニック,340-0113,埼玉県幸手市幸手５２６４－１
医療法人　入江こどもクリニック,340-0113,埼玉県幸手市大字幸手１５１－１
香日向クリニック,340-0163,埼玉県幸手市中川崎７３９－３
医療法人　清水内科クリニック,340-0816,埼玉県八潮市中央１－８－４
医療法人三愛会　三愛会総合病院,341-0003,埼玉県三郷市彦成２－３４２
医療法人財団　健和会　みさと健和団地診療所,341-0011,埼玉県三郷市釆女１－７６
クリニックふれあい早稲田,341-0018,埼玉県三郷市早稲田３－２６－３
医療法人財団　健和会　みさと健和クリニック,341-0035,埼玉県三郷市鷹野４－５１０－１
杉浦小児科,341-0038,埼玉県三郷市中央１－３－１
うつみ内科クリニック,341-0042,埼玉県三郷市谷口５６８－１
医療法人社団　土屋医院,342-0022,埼玉県吉川市加藤６６４－１
医療法人社団　埼忠禎会　埼葛クリニック,342-0037,埼玉県吉川市富新田２４５
相羽医院,342-0050,埼玉県吉川市栄町８８８－１
医療法人社団　桜和会　さくら医院,342-0061,埼玉県吉川市中央三丁目１６－１２
小島医院,343-0023,埼玉県越谷市東越谷２－６－１
北越谷そめやクリニック,343-0026,埼玉県越谷市北越谷４－２１－１０
武重医院,343-0032,埼玉県越谷市袋山１４１８－２Ｎビル２Ｆ
医療法人社団　松尾医院,343-0033,埼玉県越谷市恩間２８３
医療法人社団　ＭＹメディカル　ＭＹ内科クリニック　せんげん台,343-0041,埼玉県越谷市千間台西３－２－１２イオンスタイルせんげん台２Ｆ
医療法人財団明理会　新越谷病院,343-0815,埼玉県越谷市元柳田町６－４５
医療法人社団ナイズ　キャップスクリニック越谷レイクタウン,343-0828,埼玉県越谷市レイクタウン３－１－１イオンレイクタウンｍｏｒｉ１Ｆ
医療法人　順齢會　おだやかライフ内科クリニック,343-0828,埼玉県越谷市レイクタウン３－１－１イオンレイクタウンｍｏｒｉ２Ｆ
蒲生クリニック,343-0843,埼玉県越谷市蒲生茜町１９－６グランディール１Ｆ
医療法人社団　いぶきこどもクリニック,344-0023,埼玉県春日部市大枝３０９
医療法人社団げんき会　あゆみクリニック,344-0023,埼玉県春日部市大枝４００－４
ファミリークリニックまの,344-0024,埼玉県春日部市千間１－５９－５
渡辺クリニック,344-0046,埼玉県春日部市上蛭田１２８
武井医院,344-0061,埼玉県春日部市粕壁１－４－８
宇野クリニック,344-0061,埼玉県春日部市粕壁１－６－５アーバンハイツ春日部２階
医療法人　永寿会　三須医院,344-0062,埼玉県春日部市粕壁東１－１１－１２
医療法人　ゆりのき医院,344-0065,埼玉県春日部市谷原１－１６－２０
医療法人　月うさぎ　みやざわ耳鼻咽喉科,344-0067,埼玉県春日部市中央１－５２－８ー１階
医療法人社団　萌優会　ふじクリニック,344-0067,埼玉県春日部市中央１－８－１３
鳥居整形外科医院,345-0035,埼玉県北葛飾郡杉戸町内田１－１－２０
医療法人社団　東順会　杉戸耳鼻咽喉科医院,345-0036,埼玉県北葛飾郡杉戸町杉戸４－１５－８
井上小児科皮ふ科,345-0045,埼玉県北葛飾郡杉戸町高野台西２－６－３
医療法人　新井病院,346-0003,埼玉県久喜市久喜中央２－２－２８
しらさきクリニック,346-0032,埼玉県久喜市久喜新１１８０－１
医療法人社団　かぞ南内科クリニック,347-0031,埼玉県加須市南町５－１８
医療法人　加藤こどもクリニック,347-0068,埼玉県加須市大門町６－３４
医療法人　神山クリニック,348-0025,埼玉県羽生市上手子林６２－２
井上医院,349-0111,埼玉県蓮田市東１－１－２０
西村内科クリニック,349-0111,埼玉県蓮田市東６－３－２４吉田ビル１Ｆ
おだ内科,349-0114,埼玉県蓮田市馬込２－３００
陽山会クリニック,349-0114,埼玉県蓮田市馬込５－１９８
本田内科医院,349-0115,埼玉県蓮田市蓮田１－２３１
渡辺クリニック,349-0115,埼玉県蓮田市蓮田３－１４３
医療法人しらさき　しらさき蓮田クリニック,349-0123,埼玉県蓮田市本町３－５蓮田オークプラザ駅前温泉館２階
医療法人　響友会　みなと内科医院,349-0135,埼玉県蓮田市井沼９８６－３
杉本医院,349-0217,埼玉県白岡市小久喜１４４４－７
医療法人社団　哺育会　白岡中央総合病院,349-0217,埼玉県白岡市小久喜９３８－１２
加須健診クリニック,349-1145,埼玉県加須市間口１２７１－１
野田医院,350-0024,埼玉県川越市並木新町４－７
医療法人　さとうクリニック,350-0042,埼玉県川越市中原町２－１６－３第２武州ビル１Ｆ
医療法人社団　広彩会　ひろせクリニック,350-0043,埼玉県川越市新富町２－４－３木村屋ビル３階
長澤クリニック,350-0044,埼玉県川越市通町５－５第２山田ビル１階
社会医療法人刀仁会　坂戸中央健康管理センター,350-0214,埼玉県坂戸市千代田４－１３－３
渋谷こどもクリニック,350-0225,埼玉県坂戸市日の出町６－２５マスヤビルⅢ３階
医療法人社団　薫風会　坂戸内科医院,350-0229,埼玉県坂戸市薬師町１５－６
脳神経外科ブレインピア坂戸西,350-0262,埼玉県坂戸市新堀２７９－１
町野皮ふ科,350-0269,埼玉県坂戸市にっさい花みず木３－１５－１３
川越江原耳鼻咽喉科,350-0806,埼玉県川越市天沼新田２７６－１
医療法人　西部診療所,350-0806,埼玉県川越市天沼新田３０７－１
医療法人　和心会　ハッピーバースライフクリニック,350-1101,埼玉県川越市的場２－７－７
しらさき川越クリニック,350-1112,埼玉県川越市上野田町３５－８８
ハヤカワクリニック,350-1114,埼玉県川越市東田町２３－２ドミ東田１０５
医療法人　豊仁会　三井クリニック,350-1122,埼玉県川越市脇田町１０５アトレ６階
医療法人社団　ナイズ　キャップスクリニック川越,350-1123,埼玉県川越市脇田本町１６－５ザ・パークハウス川越タワー２Ｆ
医療法人　小川医院,350-1123,埼玉県川越市脇田本町６－１８川越大森ビル８階
医療法人　勇優雅会　Ｕ＿ＰＬＡＣＥかわごえ内科,350-1123,埼玉県川越市脇田本町８－１Ｕ＿ＰＬＡＣＥ　６Ｆ　ＭＥＤＩＣＩＴＹ
松本医院,350-1142,埼玉県川越市藤間１１２３
医療法人　積仁会　旭ヶ丘病院,350-1211,埼玉県日高市森戸新田９９－１
医療法人社団　輔正会　岡村記念クリニック,350-1245,埼玉県日高市栗坪２３０－１
小児科　林医院,350-1305,埼玉県狭山市入間川２－５－７－１０１
若葉内科クリニック,350-2203,埼玉県鶴ヶ島市上広谷６４５－１
若葉こどもクリニック,350-2206,埼玉県鶴ヶ島市藤金３３３－２
医療法人社団　悠眞会　たわらクリニック,350-2206,埼玉県鶴ヶ島市藤金６５０－１
朝霞駅東口たんば内科クリニック,351-0006,埼玉県朝霞市仲町２－２－３８アウステル１Ｆ
医療法人　わかば会　宮戸クリニック,351-0035,埼玉県朝霞市朝志ケ丘４－７－１３
医療法人社団　門田医院,351-0105,埼玉県和光市西大和団地１－６－３
さいたま胃腸内視鏡と肝臓のクリニック　和光市駅前院,351-0112,埼玉県和光市丸山台１－１０－２０Ｍ・Ｎビル３Ｆ
医療法人　慶和会　和光耳鼻咽喉科,351-0112,埼玉県和光市丸山台１－１０－２０Ｍ・Ｎビルディング２Ｆ
医療法人社団　喜恵会　和光駅前クリニック,351-0115,埼玉県和光市新倉１－２－６５
医療法人社団　喜恵会　志木南口クリニック,352-0001,埼玉県新座市東北２－３０－１５－２Ｆ
須田整形外科,352-0006,埼玉県新座市新座３－３－１４
医療法人社団　慈生会　海江田医院,352-0032,埼玉県新座市新堀３－１１－１１
医療法人社団　めいこう会　玲子内科クリニック,352-0035,埼玉県新座市栗原５－１２－１７－２Ｆ
